/* Numeric character data loaded during game startup */

/* Default values: */

character
{
	/* Obligatory: DefaultArmStrength */
	/* Obligatory for humanoids: DefaultLegStrength */
	/* Obligatory for humanoids: DefaultDexterity */
	/* Obligatory: DefaultAgility */
	/* Obligatory: DefaultEndurance */
	/* Obligatory: DefaultPerception */
	/* Obligatory: DefaultIntelligence */
	/* Obligatory: DefaultWisdom */
	/* Obligatory: DefaultCharisma */
	/* Obligatory: DefaultMana */
	DefaultMoney = 0;
	/* Obligatory: TotalSize */
	CanRead = false;
	IsCharmable = true;
	Sex = UNDEFINED;
	BloodColor = rgb(75, 0, 0);
	CanBeGenerated = false;
	CriticalModifier = 20;
	StandVerb = "standing";
	CanOpen = true;
	CanBeDisplaced = true;
	Frequency = 10000;
	CanWalk = true;
	CanSwim = false;
	CanFly = false;
	PhysicalDamageResistance = 0;
	SoundResistance = 0;
	EnergyResistance = 0;
	AcidResistance = 0;
	FireResistance = 0;
	PoisonResistance = 0;
	BulimiaResistance = 0;
	IsUnique = false;
	ConsumeFlags = FRUIT|MEAT|LIQUID|PROCESSED;
	/* Obligatory: TotalVolume */
	TalkVerb = "grunts";
	IsNameable = true;
	BaseEmitation = 0;
	/* Obligatory: TorsoBitmapPos */
	TorsoBonePercentile = 30;
	Article = "a";
	Adjective = "";
	AdjectiveArticle = "a";
	/* Obligatory: NameSingular */
	/* NameSingular + "s" by default: NamePlural */
	ArticleMode = NORMALARTICLE;
	IsAbstract = true; /* This is false by default and does not inherit! */
	IsPolymorphable = true;
	/* At least one of the following three is obligatory: */
	/* UnarmedStrength */
	/* BiteStrength, if not defined then equals UnarmedStrength / 2 */
	/* KickStrength, if not defined then equals UnarmedStrength * 2 */
	AttackStyle = USE_ARMS;
	CanUseEquipment = false;
	CanKick = false;
	CanTalk = false;
	ClassStates = 0;
	CanBeWished = true;
	CreateDivineConfigurations = false;
}

humanoid
{
	ClothColor = rgb(111, 74, 37);
	SkinColor = rgb(230, 140, 100);
	HairColor = rgb(160, 80, 0);
	EyeColor = rgb(48, 8, 80);
	BeltColor = rgb(48, 48, 48);
	TorsoSpecialColor = 0;
	ArmSpecialColor = 0;
	LegSpecialColor = 0;
	HeadBonePercentile = 20;
	TorsoBonePercentile = 10;
	ArmBonePercentile = 30;
	GroinBonePercentile = 40;
	LegBonePercentile = 30;
	IsAbstract = true;
	UnarmedStrength = 2500;
	Sex = MALE;
	CanUseEquipment = true;
	CanKick = true;
	CanTalk = true;
}

nonhumanoid
{
	IsAbstract = true;
}

human
{
	DefaultArmStrength = 10;
	DefaultLegStrength = 10;
	DefaultDexterity = 15;
	DefaultAgility = 15;
	DefaultEndurance = 10;
	DefaultPerception = 10;
	DefaultIntelligence = 10;
	DefaultWisdom = 10;
	DefaultCharisma = 10;
	DefaultMana = 10;
	DefaultMoney = 200;
	HeadBitmapPos = 96, 0;
	TorsoBitmapPos = 32, 0;
	ArmBitmapPos = 64, 0;
	LegBitmapPos = 0, 0;
	TotalVolume = 60000;
	TotalSize = 150;
	CanRead = true;
	NameSingular = "human";
}

petrus
{
