/* Numeric character data loaded during game startup */

/* Default values: */

character
{
	/* Obligatory: DefaultArmStrength */
	/* Obligatory for humanoids: DefaultLegStrength */
	/* Obligatory for humanoids: DefaultDexterity */
	/* Obligatory: DefaultAgility */
	/* Obligatory: DefaultEndurance */
	/* Obligatory: DefaultPerception */
	/* Obligatory: DefaultIntelligence */
	/* Obligatory: DefaultWisdom */
	/* Obligatory: DefaultCharisma */
	/* Obligatory: DefaultMana */
	DefaultMoney = 0;
	/* Obligatory: TotalSize */
	CanRead = false;
	IsCharmable = true;
	Sex = UNDEFINED;
	BloodColor = rgb16(75, 0, 0);
	CanBeGenerated = false;
	CriticalModifier = 20;
	StandVerb = "standing";
	CanOpen = true;
	CanBeDisplaced = true;
	Frequency = 10000;
	CanWalk = true;
	CanSwim = false;
	CanFly = false;
	PhysicalDamageResistance = 0;
	SoundResistance = 0;
	EnergyResistance = 0;
	AcidResistance = 0;
	FireResistance = 0;
	PoisonResistance = 0;
	BulimiaResistance = 0;
	IsUnique = false;
	ConsumeFlags = CT_FRUIT|CT_MEAT|CT_LIQUID|CT_PROCESSED;
	/* Obligatory: TotalVolume */
	TalkVerb = "grunts";
	IsNameable = true;
	BaseEmitation = 0;
	/* Obligatory: TorsoBitmapPos */
	TorsoBonePercentile = 30;
	Article = "a";
	Adjective = "";
	AdjectiveArticle = "a";
	/* Obligatory: NameSingular */
	/* NameSingular + "s" by default: NamePlural */
	ArticleMode = NORMAL_ARTICLE;
	IsAbstract = true; /* This is false by default and does not inherit! */
	IsPolymorphable = true;
	/* At least one of the following three is obligatory: */
	/* BaseUnarmedStrength */
	/* BaseBiteStrength, if not defined then equals BaseUnarmedStrength / 4 */
	/* BaseKickStrength, if not defined then equals BaseUnarmedStrength * 4 */
	AttackStyle = USE_ARMS;
	CanUseEquipment = false;
	CanKick = false;
	CanTalk = false;
	ClassStates = 0;
	CanBeWished = true;
	CreateDivineConfigurations = false;
	CreateSolidMaterialConfigurations = false;
	AttributeBonus = 0;
	RightSWeaponSkillHits = 0;
	LeftSWeaponSkillHits = 0;
	PanicLevel = 33;
	CanBeCloned = true;
}

humanoid
{
	ClothColor = rgb16(111, 74, 37);
	SkinColor = rgb16(230, 140, 100);
	HairColor = rgb16(160, 80, 0);
	EyeColor = rgb16(48, 8, 80);
	BeltColor = rgb16(48, 48, 48);
	TorsoSpecialColor = 0;
	ArmSpecialColor = 0;
	LegSpecialColor = 0;
	HeadBonePercentile = 15;
	TorsoBonePercentile = 10;
	ArmBonePercentile = 30;
	GroinBonePercentile = 40;
	LegBonePercentile = 30;
	IsAbstract = true;
	BaseUnarmedStrength = 5000;
	Sex = MALE;
	CanUseEquipment = true;
	CanKick = true;
	CanTalk = true;
}

nonhumanoid
{
	IsAbstract = true;
}

human
{
	DefaultArmStrength = 10;
	DefaultLegStrength = 10;
	DefaultDexterity = 10;
	DefaultAgility = 10;
	DefaultEndurance = 10;
	DefaultPerception = 10;
	DefaultIntelligence = 10;
	DefaultWisdom = 10;
	DefaultCharisma = 10;
	DefaultMana = 10;
